,Compound,Date,Media Source,Negative,Neutral,Positive,Tweets Ago
335,0.4754,Sun Jan 07 03:59:03 +0000 2018,Fox,0.655,0.116,0.229,36
336,0.0772,Sun Jan 07 01:41:59 +0000 2018,Fox,0.642,0.195,0.163,37
337,0.6369,Sat Jan 06 22:42:50 +0000 2018,Fox,0.826,0.0,0.174,38
338,0.0,Sat Jan 06 22:29:07 +0000 2018,Fox,1.0,0.0,0.0,39
339,0.0,Sat Jan 06 22:24:27 +0000 2018,Fox,1.0,0.0,0.0,40
340,0.0,Mon Jan 08 07:22:13 +0000 2018,Fox,1.0,0.0,0.0,41
341,0.296,Mon Jan 08 05:11:05 +0000 2018,Fox,0.901,0.0,0.099,42
342,0.3182,Mon Jan 08 05:08:00 +0000 2018,Fox,0.909,0.0,0.091,43
343,0.802,Mon Jan 08 05:04:22 +0000 2018,Fox,0.455,0.0,0.545,44
344,0.0,Sun Jan 07 23:36:57 +0000 2018,Fox,1.0,0.0,0.0,45
345,-0.296,Sun Jan 07 23:17:28 +0000 2018,Fox,0.476,0.524,0.0,46
346,0.636,Sun Jan 07 23:17:08 +0000 2018,Fox,0.193,0.0,0.807,47
347,-0.6478,Sun Jan 07 23:15:04 +0000 2018,Fox,0.763,0.237,0.0,48
348,-0.5707,Sun Jan 07 23:06:14 +0000 2018,Fox,0.39,0.61,0.0,49
349,0.5267,Sun Jan 07 22:06:10 +0000 2018,Fox,0.708,0.066,0.226,50
350,-0.2862,Sun Jan 07 21:27:38 +0000 2018,Fox,0.745,0.153,0.102,51
351,0.6486,Sun Jan 07 21:23:06 +0000 2018,Fox,0.762,0.0,0.238,52
352,0.0,Sun Jan 07 06:04:08 +0000 2018,Fox,1.0,0.0,0.0,53
353,0.8122,Sun Jan 07 04:16:20 +0000 2018,Fox,0.682,0.0,0.318,54
354,0.0,Sun Jan 07 04:10:19 +0000 2018,Fox,1.0,0.0,0.0,55
355,0.4754,Sun Jan 07 03:59:03 +0000 2018,Fox,0.655,0.116,0.229,56
356,0.0772,Sun Jan 07 01:41:59 +0000 2018,Fox,0.642,0.195,0.163,57
357,0.6369,Sat Jan 06 22:42:50 +0000 2018,Fox,0.826,0.0,0.174,58
358,0.0,Sat Jan 06 22:29:07 +0000 2018,Fox,1.0,0.0,0.0,59
359,0.0,Sat Jan 06 22:24:27 +0000 2018,Fox,1.0,0.0,0.0,60
360,0.0,Mon Jan 08 07:22:13 +0000 2018,Fox,1.0,0.0,0.0,61
361,0.296,Mon Jan 08 05:11:05 +0000 2018,Fox,0.901,0.0,0.099,62
362,0.3182,Mon Jan 08 05:08:00 +0000 2018,Fox,0.909,0.0,0.091,63
